Year,Month,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000m3/day,Capacity (1000 m3/d),Reason for variance from nameplate capacity
2013,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,70,86.52314297,Downstream Restrictions
2013,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,14,87.35784914,Downstream Restrictions
2013,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,74,87.35784914,Downstream Restrictions
2013,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,13,85.296,Downstream Restrictions
2013,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,72,85.296,Downstream Restrictions
2013,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,15,84.72,Downstream Restrictions
2013,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,69,84.72,Downstream Restrictions
2013,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,13,84.264,Downstream Restrictions
2013,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,68,84.264,Downstream Restrictions
2013,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,10,84.264,Downstream Restrictions
2013,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,63,84.264,Downstream Restrictions
2013,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,81.72,Downstream Restrictions
2013,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,55,81.72,Downstream Restrictions
2013,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,12,83.496,Downstream Restrictions
2013,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,69,83.496,Downstream Restrictions
2013,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,84.264,Downstream Restrictions
2013,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,75,84.264,Downstream Restrictions
2013,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,14,84.32847577,Downstream Restrictions
2013,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,71,84.32847577,Downstream Restrictions
2013,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,12,77.87623793,"Downstream Restrictions, Curtailment/Interruption"
2013,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,66,77.87623793,"Downstream Restrictions, Curtailment/Interruption"
2013,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,82.79647042,"Downstream Restrictions, Curtailment/Interruption"
2013,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,74,82.79647042,"Downstream Restrictions, Curtailment/Interruption"
2014,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,12,84.264,Downstream Restrictions
2014,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,70,84.264,Downstream Restrictions
2014,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,7,86.16364714,Downstream Restrictions
2014,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,79,86.16364714,Downstream Restrictions
2014,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,85.272,Downstream Restrictions
2014,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,76,85.272,Downstream Restrictions
2014,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,84.264,Downstream Restrictions
2014,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,75,84.264,Downstream Restrictions
2014,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,10,84.76096245,Downstream Restrictions
2014,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,75,84.76096245,Downstream Restrictions
2014,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,10,84.264,"Downstream Restrictions, Force Majeure"
2014,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,72,84.264,"Downstream Restrictions, Force Majeure"
2014,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,10,84.264,"Downstream Restrictions, Curtailment/Interruption"
2014,7,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,72,84.264,"Downstream Restrictions, Curtailment/Interruption"
2014,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,8,84.264,Downstream Restrictions
2014,8,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,76,84.264,Downstream Restrictions
2014,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,9,80.0466996,"Downstream Restrictions, Curtailment/Interruption"
2014,9,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,71,80.0466996,"Downstream Restrictions, Curtailment/Interruption"
2014,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,12,87.87096826,Downstream Restrictions
2014,10,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,76,87.87096826,Downstream Restrictions
2014,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,12,87.5096304,Downstream Restrictions
2014,11,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,76,87.5096304,Downstream Restrictions
2014,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,12,87.16134281,Downstream Restrictions
2014,12,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,75,87.16134281,Downstream Restrictions
2015,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,10,88.35458061,Downstream Restrictions
2015,1,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,78,88.35458061,Downstream Restrictions
2015,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,8,87.63736618,Downstream Restrictions
2015,2,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,80,87.63736618,Downstream Restrictions
2015,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,8,92.21686877,Downstream Restrictions
2015,3,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,84,92.21686877,Downstream Restrictions
2015,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,10,94.5708841,System Operating Factor
2015,4,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,84,94.5708841,System Operating Factor
2015,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,12,92.856,Downstream Restrictions
2015,5,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic heavy,72,92.856,Downstream Restrictions
2015,6,TransCanada Keystone Pipeline GP Ltd.,Keystone Pipeline System,"International boundary at or near Haskett, Manitoba",48.998912,-97.957657,South,export,domestic light,11,88.8,Downstream Restrictions
