Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput 1000 m3/d,Capacity (1000 m3/d),Reason for variance from nameplate capacity
10,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.9,not available,not available
11,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.4,not available,not available
12,2014,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.6,not available,not available
1,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.8,not available,not available
2,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.3,not available,not available
3,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.9,not available,not available
4,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.9,not available,not available
5,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.1,not available,not available
6,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,36.7,not available,not available
7,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,36.3,not available,not available
8,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.1,not available,not available
9,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.1,not available,not available
10,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32.5,not available,not available
11,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.8,not available,not available
12,2015,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,31.8,not available,not available
1,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.5,not available,not available
2,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.6,not available,not available
3,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.1,not available,not available
4,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,32,not available,not available
5,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,29.7,not available,not available
6,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,31.4,not available,not available
7,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,35.1,not available,not available
8,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,33.9,not available,not available
9,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,31.4,not available,not available
10,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.1,not available,not available
11,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,27.9,not available,not available
12,2016,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.5,not available,not available
1,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,29.51125806,not available,not available
2,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,27.79082143,not available,not available
3,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,26.33309677,not available,not available
4,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,29.19116667,not available,not available
5,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,29.58693548,not available,not available
6,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.1416,not available,not available
7,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,30.3,not available,not available
8,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,29.8,not available,not available
9,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,27.1,not available,not available
10,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,24.9,not available,not available
11,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,25.7,not available,not available
12,2017,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,28.9,not available,not available
1,2018,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,27.5,not available,not available
2,2018,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,27,not available,not available
3,2018,Trans-Northern Pipelines Inc.,Trans-Northern,not available,not available,not available,not available,intracanada,refined petroleum products,26.3,not available,not available
4,2018,Trans-Northern Pipelines Inc.,Trans-Northern,,not available,not available,not available,intracanada,refined petroleum products,25.52143333,not available,not available
5,2018,Trans-Northern Pipelines Inc.,Trans-Northern,,not available,not available,not available,intracanada,refined petroleum products,26.404,not available,not available
6,2018,Trans-Northern Pipelines Inc.,Trans-Northern,,not available,not available,not available,intracanada,refined petroleum products,27.32393333,not available,not available
