Month,Year,Corporate Entity,Pipeline Name,Key Point,Latitude,Longitude,Direction of Flow,Trade Type,Product,Throughput (1000 m3/d),Capacity (1000 m3/d),Reason for variance from nameplate capacity
3,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.281080956,2.947368421,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,3.089287508,3.1,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.459225909,2.736842105,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.643658224,2.736842105,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.364829965,2.736842105,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.031231359,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.795739647,2.7,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.305463374,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
11,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.522998225,2.7,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
12,2012,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.56371369,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
1,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.23890631,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.92882013,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
3,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.042639943,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.629234784,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.035830293,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.321403549,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.431151434,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.159252773,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.142672944,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.086537978,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
11,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.210271357,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
12,2013,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.194501585,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
1,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.144439365,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
2,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.113353222,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
3,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.389034881,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
4,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.22062622,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
5,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.091388644,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
6,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.206379529,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
7,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.353124467,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
8,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.274868361,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
9,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,1.648490858,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
10,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.227100766,2.7,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
11,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.19407375,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
12,2014,Enbridge Pipelines (NW) Inc. ,Norman Wells Pipeline,Zama,59.067,-118.854,South,intracanada,domestic light,2.157461609,2.631578947,"Capacity may vary based on unplanned outages, planned maintenance, short term pressure restrictions and operational outages."
