COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Location 1
"Lee Oil Company, Inc.",Steuben,West Union,31101107300000,Rex 376,UL,OD,-77.69569,42.09732,NO,8,"{'longitude': '-77.69569', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09732'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101107320000,Rex 378,UL,OD,-77.69803,42.09727,NO,8,"{'longitude': '-77.69803', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09727'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612390000,Rex 381,UL,NL,-77.69872,42.09337,NO,8,"{'longitude': '-77.69872', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09337'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101156190000,Rex 385,UM,NL,-77.69667,42.09638,NO,8,"{'longitude': '-77.69667', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09638'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101616790000,Rex 392,UL,NL,-77.69771,42.09257,NO,8,"{'longitude': '-77.69771', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09257'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101513660000,Rex 395,UM,NL,-77.69652,42.09157,NO,8,"{'longitude': '-77.69652', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09157'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612520000,Rex 407,UM,NL,,,NO,8,"{'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101124690000,Rex 418,UL,IW,-77.69875,42.09768,NO,8,"{'longitude': '-77.69875', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09768'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101127500000,Rex 419,UL,OD,-77.69872,42.09864,NO,8,"{'longitude': '-77.69872', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09864'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101155670000,Rex 420,UL,OD,-77.69687,42.09724,NO,8,"{'longitude': '-77.69687', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09724'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101155680000,Rex 421,UL,OD,-77.69695,42.09795,NO,8,"{'longitude': '-77.69695', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09795'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101156200000,Rex 422,UL,OD,-77.69763,42.09843,NO,8,"{'longitude': '-77.69763', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09843'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101157540000,Rex 423,UL,OD,-77.69868,42.09952,NO,8,"{'longitude': '-77.69868', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09952'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101616880000,Rex 5,UL,NL,-77.69538,42.09142,NO,8,"{'longitude': '-77.69538', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09142'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612500000,Rex 6,UM,OD,-77.69715,42.09207,NO,8,"{'longitude': '-77.69715', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09207'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612460000,Rex 7,UL,OD,-77.69901,42.09266,NO,8,"{'longitude': '-77.69901', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09266'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101616730000,Rex 8,UL,NL,-77.69527,42.09235,NO,8,"{'longitude': '-77.69527', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09235'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101606820000,Rex O-368,UL,IW,-77.69833,42.09481,NO,8,"{'longitude': '-77.69833', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09481'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612300000,Rex O-369,UL,IW,-77.69708,42.0947,NO,8,"{'longitude': '-77.69708', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0947'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612310000,Rex O-370,UL,OD,-77.69561,42.0947,NO,8,"{'longitude': '-77.69561', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0947'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612370000,Rex O-373,UL,IW,-77.69535,42.09369,NO,8,"{'longitude': '-77.69535', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09369'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612360000,Rex O-374,UL,IW,-77.69714,42.09377,NO,8,"{'longitude': '-77.69714', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09377'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101612350000,Rex O-375,UM,NL,-77.6983,42.09105,NO,8,"{'longitude': '-77.6983', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09105'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101107310000,Rex O-377,UL,OD,-77.69867,42.09686,NO,8,"{'longitude': '-77.69867', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09686'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101107280000,Rex O-383,UL,OD,-77.69876,42.0952,NO,8,"{'longitude': '-77.69876', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.0952'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101107290000,Rex O-384,UL,OD,-77.69868,42.09592,NO,8,"{'longitude': '-77.69868', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09592'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101108460000,Rex O-400,UL,OD,-77.69884,42.09417,NO,8,"{'longitude': '-77.69884', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09417'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101109660000,Rex O-401,UL,OD,-77.69836,42.09369,NO,8,"{'longitude': '-77.69836', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09369'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101110810000,Rex O-408,UL,OD,-77.69524,42.09352,NO,8,"{'longitude': '-77.69524', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09352'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101110820000,Rex O-409,UL,OD,-77.6969,42.09361,NO,8,"{'longitude': '-77.6969', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09361'}"
"Lee Oil Company, Inc.",Steuben,West Union,31101114640000,Rex O-412,UL,OD,-77.69548,42.09256,NO,8,"{'longitude': '-77.69548', 'needs_recoding': False, 'human_address': '{""address"":"""",""city"":""West Union"",""state"":""NY"",""zip"":""""}', 'latitude': '42.09256'}"
