LMS - INT03,"March 03, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40410
Liability Run Date:,"March 03, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.72"
Number of Licensees at or over Industry Threshold:,"433"
Number of Licensees below Industry Threshold:,"328"
Total Number of Licensees Evaluated:,"761"
Total Number of Licences/Approvals Evaluated:,"348,185"
Total Deemed Assets:,"$143,025,364,579.30"
Total Deemed Liabilities:,"$30,277,315,073.05"
Total Estimated Liabilities:,"$31,003,997,941.05"
Total LMR Security Held:,"$196,083,150.91"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"228","1,319","$0.00","$76,778,117.52","0.00"
0.01 - 0.49,"41","3,308","$27,939,702.37","$288,986,818.76","0.10"
0.50 - 0.99,"59","3,909","$246,044,860.47","$331,612,210.04","0.74"
1.00 - 1.49,"144","58,415","$5,004,636,310.08","$3,902,481,335.24","1.28"
"DeerGarden Resources Ltd.  (A64N)",*,"4.47"
"Dejour Energy (Alberta) Ltd.  (A2W4)",*,"1.32"
"Delphi Energy Corp.  (0CT7)",,"12.32"
"Deltastream Energy Corporation  (A6YA)",,"4.66"
"Derrick Petroleum Ltd.  (0PX3)",*,"1.34"
"Desoto Resources Limited  (0PH7)",*,"0.97"
"Deventa Energy Inc.  (A6JT)",*,"0.89"
"Devon Canada Corporation  (0K29)",*,"11.26"
"DGS Oil & Gas Co. Inc.  (0NX3)",*,"1.00"
"Dienerian Resources Inc.  (A777)",,"1.00"
"Dire Resources Ltd.  (0A0E)",*,"2.77"
"Direct Energy Marketing Limited  (0RC3)",,"1.00"
"Direct Oil & Gas Inc.  (A7LX)",,"2.18"
"Dirham Oil (2000) Inc.  (A00C)",*,"2.83"
"Diversified Oil & Gas Ltd.  (0C5N)",*,"1.04"
"Doag Energy Ltd.  (A63X)",*,"1.00"
"Dolomite Energy Inc.  (A1CJ)",*,"0.49"
"Dragonfountain Ltd.  (A6Y1)",*,"1.00"
"Dragos Energy Corp.  (A7FL)",*,"0.20"
"Drakkar Energy Ltd.  (A2RJ)",,"5.10"
"Dynatech Petroleum Consultants Ltd.  (0MC7)",*,"3.02"
"E-T Energy Ltd.  (A1H6)",*,"1.37"
"Eagle Energy Inc.  (A794)",,"3.19"
"Eagle Hydrocarbons Ltd.  (0PB1)",*,"1.00"
"Eastcott Holdings Ltd.  (A1P7)",*,"1.00"
"Eclipse Resources Ltd.  (0YK8)",,"2.15"
"Eco-Industrial Business Park Inc.  (A519)",,"1.55"
"Edalis Energy Inc.  (A5F0)",,"1.07"
"Edson Anchors Ltd.  (A2NH)",*,"0.39"
"Elcano Exploration Inc.  (A78J)",*,"1.22"
"Elkhorn Petroleums Ltd.  (A72N)",*,"1.00"
"Elmdale Resources Ltd.  (0LN1)",*,"0.61"
"Ember Resources Inc.  (A1H9)",,"2.05"
"Emerald Lake Energy Ltd.  (A5YB)",,"11.90"
"Encana Corporation  (0026)",,"8.40"
"Ener T Corporation  (0HR9)",,"2.29"
"Enercapita Energy Ltd.  (A73W)",,"2.34"
"Energetic Logistics Services Inc.  (A73E)",*,"1.45"
"Energy Express Canada Corp.  (0LD3)",,"2.83"
"Enerplus Corporation  (A5RD)",,"3.29"
"Eng-Land Energy Ltd.  (0A1H)",*,"1.12"
"Enhance Energy Inc.  (A216)",,"1.23"
"Eni Canada Holding Ltd.  (A5FG)",*,"1.00"
"Entrada Resources Inc.  (A7DT)",,"1.89"
"Envolve Energy Services Corp.  (A6P8)",,"17.54"
"Essex Oil Corporation  (A74K)",,"3.18"
"Executive Adventures 2008 Inc.  (A6PA)",,"13.15"
"Expander Energy Inc.  (A7KE)",,"1.00"
"Exshaw Oil Corp.  (A2DM)",,"10.86"
"ExxonMobil Canada Energy  (0JT1)",*,"1.00"
"ExxonMobil Canada Ltd.  (0057)",,"1.18"
"ExxonMobil Canada Resources Company  (A0NG)",,"2.66"
"Far West Energy Corp.  (A6D0)",*,"0.48"
"Fenway Exploration Ltd.  (A70R)",,"0.00"
"Ferrybank Resources Ltd.  (0HH4)",*,"0.72"
"Ferus Inc.  (A1Y8)",,"4.96"
"Ferus Natural Gas Fuels Inc.  (A73H)",*,"1.00"
"Fire Creek Resources Ltd.  (0TY4)",*,"2.00"
"Firefly Resources Ltd.  (0NB7)",*,"1.03"
"Firenze Energy Ltd.  (A1EZ)",,"2.03"
"Five O Oil & Gas Ltd.  (A598)",*,"0.31"
"Flow-Back Oil & Gas Ltd.  (0F9Y)",,"0.62"
"Forent Energy Ltd.  (0YE6)",,"1.07"
"Forge Oil & Gas Limited  (A76A)",,"5.38"
"Formula Powell Trucking 2006 Ltd.  (A73F)",*,"1.00"
"Fort Calgary Resources Ltd.  (A1JY)",,"1.17"
"Fortune Energy Inc.  (0DM6)",*,"1.28"
"Foxwood Resources Ltd.  (A7BC)",,"1.36"
"Frank O'Sullivan Petroleum Western Ltd.  (0EA3)",,"0.00"
"Free Rein Resources Ltd.  (0KA2)",*,"1.00"
"Freehold Royalties Ltd.  (A68A)",,"0.97"
"G. Herman Group Inc.  (A6DY)",,"0.97"
"G.N.E. Exploration Ltd.  (0JA3)",,"0.00"
"Gain Energy Ltd.  (A7ME)",,"2.61"
"Gear Energy Ltd.  (A2JR)",,"2.07"
"Gentra One Resources Inc.  (0EG2)",*,"2.00"
"Geo. B. Ross Holdings Ltd.  (A05H)",*,"1.00"
"Georox Resources Inc.  (A5BH)",,"2.99"
"GEX Resources Ltd.  (0BE8)",*,"1.39"
"GFL Environmental Inc.  (A78P)",*,"1.00"
"Ghost River Resources Inc.  (A7L3)",,"2.37"
"Gibson Energy ULC  (0195)",*,"1.45"
"GL Petroleum Corporation  (A70K)",*,"1.00"
"Glen Isle Exploration Ltd.  (0AA1)",*,"1.00"
"Glencoe Resources Ltd.  (0NM3)",,"1.15"
"Glenogle Energy Inc.  (A52E)",,"3.20"
"Golden Spike Energy Inc.  (A0M1)",,"0.99"
"Goldenkey Oil Inc.  (A2K7)",,"3.55"
"Grand Rapids Petroleum Ltd.  (0XJ5)",*,"1.84"
"Grandview Exploration Inc.  (A2CC)",,"5.68"
"Granite Oil Corp.  (A2PJ)",,"8.96"
"Graybeard Energy Ltd.  (A1W3)",*,"1.00"
"Greenview 16, M.D. Of  (A6CE)",*,"1.00"
"Grizzly Discoveries Inc.  (A4XF)",*,"1.00"
"Grizzly Oil Sands ULC  (A29X)",,"0.00"
"Grizzly Resources Ltd.  (A0TX)",,"7.21"
"Gryphon Petroleum Corp.  (A1BB)",,"3.20"
"Gulf Canada Limited  (0002)",,"1.00"
"Gunnarr Resources Inc.  (A5FY)",*,"2.08"
"Hadeed Resources Inc.  (A7G6)",,"2.75"
"Halliburton Partners Canada ULC  (A77Y)",*,"1.02"
"Halo Exploration Ltd.  (A6GH)",*,"0.88"
"Hammerhead Resources Inc.  (A5T7)",,"41.13"
"Hanna Oil & Gas Company - Canada ULC  (A2BX)",,"0.70"
"Hard Rock Resources Ltd.  (0ZK3)",,"1.31"
"Hardisty Caverns Ltd.  (A04H)",*,"1.12"
"Harlech Exploration Ltd.  (0AR5)",*,"1.00"
