"Year","GHGRP ID","NPRI ID","Company & facility name","NAICS","City","Province / territory","CO2","CH4","N2O","HFCs","PFCs","SF6","Total"
"2016","G10359","1585","Coal Valley Resources Inc. - Coal Valley Mine","212114","Edson","Alberta","71815.0286","38544.945","7252.575","0","0","0","117612.5486"
"2016","G10068","6576","City of Medicine Hat - Electric Utility - Generation","221112","Medicine Hat","Alberta","312834.7417","6602.87","2370.8284","0","0","0","321808.4401"
"2016","G10029","3749","Tidewater Midstream and Infrastructure Ltd. - Brazeau Gas Plant","211113","Drayton Valley","Alberta","78087.6554","64723.735","1555.113","0","0","0","144366.5034"
"2016","G10556","1077","Direct Energy Marketing Ltd. - Ferrier Gas Plant","211113","Rocky Mountain House","Alberta","46139.8948","4705.4875","477.1874","0","0","0","51322.5697"
"2016","G10321","3751","Direct Energy Marketing Ltd. - Wildcat Hills Gas Plant","211113","Cochrane","Alberta","136900.5849","1980.8575","577.7624","0","0","0","139459.2048"
"2016","G10135","3758","Direct Energy Marketing Ltd. - Hanlan Robb Gas Plant","211113","Edson","Alberta","193334.7554","24150.3575","555.7104","0","0","0","218040.8233"
"2016","G10668","23432","Grande Prairie Generation, Inc. - Northern Prairie Thermal Electric Power Plant","221112","Sexsmith","Alberta","44747.0851","1011.4875","322.6446","0","0","0","46081.2172"
"2016","G10455","27963","Pembina Pipeline Corporation - Resthaven Sweet Gas Plant 08-11","211113","n/a","Alberta","103720.6099","34662.64","738.2056","0","0","0","139121.4555"
"2016","G10787","26618","Pembina Pipeline Corporation - Kakwa River Gas Plant 08-13-063-05W6","211113","n/a","Alberta","168805.2468","30513.11","1158.2068","0","0","0","200476.5636"
"2016","G10789","27964","Pembina Pipeline Corporation - Saturn Deepcut Gas Plant 12-36","211113","Greenview No. 16","Alberta","106848.5148","9773.9775","773.012","0","0","0","117395.5043"
"2016","G10714","25284","Pembina Pipeline Corporation - Musreau Gas Plant","211113","Greenview No. 16","Alberta","63587.579","31873.65","386.208","0","0","0","95847.437"
"2016","G10833","23190","Seven Generations Energy Ltd. - Karr 07-11-064-04W6","211113","Calgary","Alberta","64883.4103","10590.6775","403.4026","0","0","0","75877.4904"
"2016","G10832","21100","Seven Generations Energy Ltd. - Lator #2 01-21-063-02W6","211113","Lator","Alberta","45067.7726","8967.57","294.4836","0","0","0","54329.8262"
"2016","G10604","24188","Connacher Oil and Gas Limited - Algar","211114","Fort McMurray","Alberta","260561.2834","3765.235","1031.6462","0","0","0","265358.1646"
"2016","G10406","22750","Connacher Oil and Gas Limited - Pod One","211114","Fort McMurray","Alberta","140218.6348","4047.4","236.3736","0","0","0","144502.4084"
"2016","G10096","4140","Taqa North Ltd. - East Crossfield Gas Plant 9-14-28-1W5","211113","Crossfield","Alberta","110251.7401","2190.4","660.3382","0","0","0","113102.4783"
"2016","G10788","5287","Pembina Pipeline Corporation - Redwater Fractionation and Storage Facility","211113","Redwater","Alberta","61250.095","6408.625","138.57","0","0","0","67797.29"
"2016","G10536","6623","Pembina Pipeline Corporation - Empress NGL Extraction Plant","211113","Medicine Hat","Alberta","76471.957","4574.225","509.282","0","0","0","81555.464"
"2016","G10799","18844","Tourmaline Oil Corp - Wild River 14-20-056-23 W5","211113","Hinton","Alberta","74255.467","10448.2","6158.766","0","0","0","90862.433"
"2016","G10795","25300","Tourmaline Oil Corp - Banshee 15-12-050-21 W5","211113","Yellowhead County","Alberta","61367.447","6907.325","4665.786","0","0","0","72940.558"
"2016","G10825","26649","Tourmaline Oil Corp - Tourmaline Musreau 02/09-13-062-06-W6","211113","Grande Cache","Alberta","46275.487","2228.1","3852.842","0","0","0","52356.429"
"2016","G10371","1074","Pengrowth Energy Corporation - Olds Gas Plant","211113","Olds","Alberta","97131.007","2729.0725","546.8002","0","0","0","100406.8797"
"2016","G10155","440","Pengrowth Energy Corporation - Judy Creek Gas Conservation Plant","211113","Swan Hills","Alberta","30412.979","10157.035","924.3662","0","0","0","41494.3802"
"2016","G10237","426","Pengrowth Energy Corporation - Quirk Creek Gas Plant","211113","Millarville","Alberta","89608.582","2596.6675","1370.4722","0","0","0","93575.7217"
"2016","G10497","878","Millar Western Forest Products Ltd. - Whitecourt Pulp Divison","322111","Whitecourt","Alberta","66824.2","30","327.8","0","0","0","67182"
"2016","G10670","25231","DAPP Power LP - DAPP Power LP","221119","Westlock","Alberta","777.8232","501.9925","3978.1212","0","0","0","5257.9369"
"2016","G10817","29066","Pengrowth Energy Corporation - LINDBERGH SAGD 04-25","211114","Lindbergh","Alberta","319108.702","1163.4","1079.0878","0","0","0","321351.1898"
"2016","G10686","1782","Methanex Corporation - Methanex Medicine Hat Methanol Plant","325190","Medicine Hat","Alberta","373727.546","2500.7","1839.852","0","0","0","378068.098"
