LMS - INT03,"August 04, 2018"
Alberta Energy Regulator
Liability Management Programs Results Report
Liability Run ID:,40982
Liability Run Date:,"August 04, 2018"
Disclaimer:
Please note that the information posted on this Web site is provided solely for the convenience of licensees. The Liability Management Rating (LMR) provided for licensees reflects the results of a comparison of their deemed assets to their deemed liabilities for all Liability Management programs.  This ratio is based on information reported to the AER and the calculation of deemed 
assets and deemed liabilities as specified in AER Directive:,006 Licensee Liability Rating (LLR) 
Program and Licence Transfer Process, Directive 024: Large Facility Liability Management Program (LFP) and Directive 075: Oilfield Waste Liability (OWL) Program.
"This information is provided without warranty of any kind, and while believed to be accurate, the AER, its agents, employees and contractors hereby disclaim any liability for losses or damages that may result or arise from the use of or reliance on the information provided on this site."
Liability Management Rating (LMR) 
Industry LMR Threshold:,1.00
Industry Average LMR:,"4.84"
Number of Licensees at or over Industry Threshold:,"418"
Number of Licensees below Industry Threshold:,"326"
Total Number of Licensees Evaluated:,"744"
Total Number of Licences/Approvals Evaluated:,"347,274"
Total Deemed Assets:,"$146,266,586,316.70"
Total Deemed Liabilities:,"$30,236,755,795.21"
Total Estimated Liabilities:,"$30,925,826,209.21"
Total LMR Security Held:,"$178,973,469.24"
Liability Management (LMR) Rating Summary 
LMR Range,Number of Licensees,Number of Licences/ Approvals,Total Deemed Assets,Total Deemed Liabilities,LMR Value
0.00,"224","3,170","$13,184.42","$231,411,833.46","0.00"
0.01 - 0.49,"35","1,057","$19,572,441.53","$103,232,997.33","0.19"
0.50 - 0.99,"67","12,710","$706,389,422.46","$841,780,439.06","0.84"
1.00 - 1.49,"131","52,232","$4,926,536,318.64","$3,793,597,747.49","1.30"
"Cortona Energy Ltd.  (A79L)",,"1.81"
"Corval Energy Ltd.  (A6D1)",,"4.21"
"Cote Resources Ltd.  (A6G5)",*,"0.86"
"Crazy Hill Resources Ltd.  (0PJ1)",*,"1.15"
"Creenergy Oil & Gas Inc.  (A7M9)",*,"1.00"
"Crescent Point Energy Corp.  (A2J6)",,"2.45"
"Crest Jinn Petroleum Corporation  (A7MZ)",,"1.00"
"Crestwynd Exploration Ltd.  (A7MT)",,"9.14"
"Creswick Petroleum Ltd.  (0LP9)",*,"1.00"
"Crew Energy Inc.  (A0C6)",,"1.79"
"Crimson Oil & Gas Ltd.  (A6AG)",*,"0.71"
"Croverro Energy Ltd.  (A5PT)",,"0.80"
"CSV Midstream Solutions Corp.  (A6WG)",,"0.00"
"Cuda Energy Inc.  (A75T)",,"12.92"
"Cycle Energy Ltd.  (0D64)",,"0.26"
"Cynthia Custom Oil Processing Ltd.  (A74R)",*,"1.00"
"Dantel Resources Ltd.  (0KG3)",*,"1.00"
"Dark Energy Ltd.  (0XF2)",,"1.67"
"Dark Warrior Resources Ltd.  (A6AP)",*,"6.72"
"DCP Oil Corp.  (A7DB)",,"14.32"
"Deckland Inc.  (A64K)",,"1.63"
"Deep Well Oil & Gas (Alberta) Ltd.  (A577)",*,"1.00"
"DeerGarden Resources Ltd.  (A64N)",*,"4.47"
"Dejour Energy (Alberta) Ltd.  (A2W4)",*,"1.32"
"Delphi Energy Corp.  (0CT7)",,"13.85"
"Deltastream Energy Corporation  (A6YA)",,"6.31"
"Derrick Petroleum Ltd.  (0PX3)",*,"1.26"
"Desoto Resources Limited  (0PH7)",*,"0.97"
"Devon Canada Corporation  (0K29)",*,"10.76"
"DGS Oil & Gas Co. Inc.  (0NX3)",*,"1.00"
"Dienerian Resources Inc.  (A777)",,"1.00"
"Dire Resources Ltd.  (0A0E)",*,"2.71"
"Direct Energy Marketing Limited  (0RC3)",,"1.00"
"Direct Oil & Gas Inc.  (A7LX)",,"2.05"
"Dirham Oil (2000) Inc.  (A00C)",*,"2.69"
"Diversified Oil & Gas Ltd.  (0C5N)",*,"1.04"
"Doag Energy Ltd.  (A63X)",*,"5.25"
"Dolomite Energy Inc.  (A1CJ)",*,"0.49"
"Dragonfountain Ltd.  (A6Y1)",*,"1.00"
"Dragos Energy Corp.  (A7FL)",*,"0.32"
"Drakkar Energy Ltd.  (A2RJ)",,"5.23"
"Dynatech Petroleum Consultants Ltd.  (0MC7)",*,"3.02"
"E-T Energy Ltd.  (A1H6)",*,"1.37"
"Eagle Energy Inc.  (A794)",,"2.98"
"Eagle Hydrocarbons Ltd.  (0PB1)",*,"1.00"
"Eastcott Holdings Ltd.  (A1P7)",*,"1.00"
"Eclipse Resources Ltd.  (0YK8)",,"2.12"
"Eco-Industrial Business Park Inc.  (A519)",,"1.46"
"Edalis Energy Inc.  (A5F0)",*,"0.93"
"Edson Anchors Ltd.  (A2NH)",*,"0.39"
"Elcano Exploration Inc.  (A78J)",*,"1.17"
"Elkhorn Petroleums Ltd.  (A72N)",*,"1.00"
"Elmdale Resources Ltd.  (0LN1)",*,"0.61"
"Ember Resources Inc.  (A1H9)",,"1.97"
"Emerald Lake Energy Ltd.  (A5YB)",,"11.04"
"Encana Corporation  (0026)",,"7.94"
"Ener T Corporation  (0HR9)",,"2.05"
"Enercapita Energy Ltd.  (A73W)",,"2.34"
"Energetic Logistics Services Inc.  (A73E)",*,"1.00"
"Energy Express Canada Corp.  (0LD3)",,"3.07"
"Enerplus Corporation  (A5RD)",,"3.05"
"Eng-Land Energy Ltd.  (0A1H)",*,"1.16"
"Enhance Energy Inc.  (A216)",,"1.12"
"Eni Canada Holding Ltd.  (A5FG)",*,"1.00"
"Entrada Resources Inc.  (A7DT)",,"2.64"
"Envolve Energy Services Corp.  (A6P8)",,"18.35"
"Equinor Canada Ltd.  (A327)",,"1.00"
"Essex Oil Corporation  (A74K)",,"2.88"
"Executive Adventures 2008 Inc.  (A6PA)",,"9.13"
"Expander Energy Inc.  (A7KE)",,"1.00"
"Exshaw Oil Corp.  (A2DM)",,"10.91"
"ExxonMobil Canada Energy  (0JT1)",*,"1.00"
"ExxonMobil Canada Ltd.  (0057)",,"1.09"
"ExxonMobil Canada Resources Company  (A0NG)",,"2.78"
"Far West Energy Corp.  (A6D0)",*,"3.46"
"Fenway Exploration Ltd.  (A70R)",,"0.00"
"Ferrybank Resources Ltd.  (0HH4)",*,"0.63"
"Ferus Inc.  (A1Y8)",,"4.96"
"Ferus Natural Gas Fuels Inc.  (A73H)",*,"1.00"
"Fire Creek Resources Ltd.  (0TY4)",*,"1.00"
"Firefly Resources Ltd.  (0NB7)",*,"1.03"
"Firenze Energy Ltd.  (A1EZ)",,"1.86"
"Five O Oil & Gas Ltd.  (A598)",*,"0.26"
"Flow-Back Oil & Gas Ltd.  (0F9Y)",,"1.26"
"Forent Energy Ltd.  (0YE6)",,"0.91"
"Forge Oil & Gas Limited  (A76A)",,"4.37"
"Formula Powell Trucking 2006 Ltd.  (A73F)",*,"1.00"
"Fort Calgary Resources Ltd.  (A1JY)",,"1.08"
"Foxwood Resources Ltd.  (A7BC)",,"1.14"
"Frank O'Sullivan Petroleum Western Ltd.  (0EA3)",,"0.00"
"Free Rein Resources Ltd.  (0KA2)",*,"1.00"
"Freehold Royalties Ltd.  (A68A)",,"0.89"
"Front Range Resources Ltd.  (A5KN)",*,"1.00"
"G. Herman Group Inc.  (A6DY)",,"1.15"
"Gain Energy Ltd.  (A7ME)",,"2.42"
"Gear Energy Ltd.  (A2JR)",,"2.03"
"General Energy Recovery Inc.  (A7XG)",,"0.38"
"Gentra One Resources Inc.  (0EG2)",*,"2.00"
"Geo. B. Ross Holdings Ltd.  (A05H)",*,"1.00"
"Georox Resources Inc.  (A5BH)",,"2.11"
"GEX Resources Ltd.  (0BE8)",*,"1.36"
"GFL Environmental Inc.  (A78P)",*,"1.00"
"Ghost River Resources Inc.  (A7L3)",,"2.16"
"Gibson Energy ULC  (0195)",*,"1.41"
"GL Petroleum Corporation  (A70K)",*,"1.00"
"Glen Isle Exploration Ltd.  (0AA1)",*,"1.00"
