2011 Census Profile - Data quality flags and descriptions - Forward Sortation Areas (FSA)
"Geo_Code","Geo_Name","DQ_Flag (5-digit code)*"
"M8Z","M8Z","00000"
"M9A","M9A","00000"
"M9B","M9B","00000"
"M9C","M9C","00000"
"M9L","M9L","00000"
"M9M","M9M","00000"
"M9N","M9N","00000"
"M9P","M9P","00000"
"M9R","M9R","00000"
"M9V","M9V","00000"
"M9W","M9W","00000"
"N0A","N0A","02000"
"N0B","N0B","00000"
"N0C","N0C","00000"
"N0E","N0E","00000"
"N0G","N0G","00000"
"N0H","N0H","01000"
"N0J","N0J","00000"
"N0K","N0K","00000"
"N0L","N0L","01000"
"N0M","N0M","00000"
"N0N","N0N","00000"
"N0P","N0P","00000"
"N0R","N0R","00000"
"N1A","N1A","00000"
"N1C","N1C","00000"
"N1E","N1E","00000"
"N1G","N1G","00000"
"N1H","N1H","00000"
"N1K","N1K","00000"
"N1L","N1L","00000"
"N1M","N1M","00000"
"N1P","N1P","00000"
"N1R","N1R","00000"
"N1S","N1S","00000"
"N1T","N1T","00000"
"N2A","N2A","00000"
"N2B","N2B","00000"
"N2C","N2C","00000"
"N2E","N2E","00000"
"N2G","N2G","01000"
"N2H","N2H","00000"
"N2J","N2J","00000"
"N2K","N2K","00000"
"N2L","N2L","00000"
"N2M","N2M","00000"
"N2N","N2N","00000"
"N2P","N2P","00000"
"N2R","N2R","00000"
"N2T","N2T","00000"
"N2V","N2V","00000"
"N2Z","N2Z","00000"
"N3A","N3A","00000"
"N3B","N3B","00000"
"N3C","N3C","00000"
"N3E","N3E","00000"
"N3H","N3H","00000"
"N3L","N3L","00000"
"N3P","N3P","00000"
"N3R","N3R","00000"
"N3S","N3S","00000"
